date, license, latitude, longitude, fuel, interior, exterior
"2013-12-01 00:00:10", 246FRH, 45.51506, -122.64294, 100, true, true
"2013-12-01 00:00:10", 244FRH, 45.52722, -122.58595, 100, true, true
"2013-12-01 00:00:10", 243FRH, 45.52249, -122.65766, 66, true, true
"2013-12-01 00:00:10", 240FRH, 45.49905, -122.56797, 100, true, true
"2013-12-01 00:00:10", 239FRH, 45.56179, -122.63681, 45, true, true
"2013-12-01 00:00:10", 238FRH, 45.51947, -122.65054, 33, true, true
"2013-12-01 00:00:10", 235FRH, 45.53462, -122.59768, 100, true, false
"2013-12-01 00:00:10", 234FRH, 45.51563, -122.62688, 100, true, true
"2013-12-01 00:00:10", 232FRH, 45.51507, -122.64294, 45, true, true
"2013-12-01 00:00:10", 231FRH, 45.51438, -122.64681, 100, true, true
"2013-12-01 00:00:10", 176FRH, 45.51044, -122.64731, 21, true, true
"2013-12-01 00:00:10", 177FRH, 45.48481, -122.67689, 100, true, true
"2013-12-01 00:00:10", 178FRH, 45.5577, -122.6495, 33, true, true
"2013-12-01 00:00:10", 180FRH, 45.53789, -122.65966, 57, true, true
"2013-12-01 00:00:10", 181FRH, 45.5129, -122.65342, 100, true, true
"2013-12-01 00:00:10", 183FRH, 45.55926, -122.63682, 57, true, true
"2013-12-01 00:00:10", 184FRH, 45.5354, -122.56886, 54, true, true
"2013-12-01 00:00:10", 338FRH, 45.57724, -122.66512, 66, true, true
"2013-12-01 00:00:10", 185FRH, 45.54666, -122.60768, 69, true, true
"2013-12-01 00:00:10", 186FRH, 45.55822, -122.59495, 69, true, true
"2013-12-01 00:00:10", 202FRH, 45.50803, -122.65376, 78, true, true
"2013-12-01 00:00:10", 203FRH, 45.49945, -122.68051, 100, true, true
"2013-12-01 00:00:10", 320FRH, 45.55387, -122.60085, 96, true, true
"2013-12-01 00:00:10", 321FRH, 45.55359, -122.58674, 48, true, true
"2013-12-01 00:00:10", 323FRH, 45.57652, -122.67527, 60, false, true
"2013-12-01 00:00:10", 346FRH, 45.49891, -122.56801, 100, true, true
"2013-12-01 00:00:10", 345FRH, 45.49411, -122.63559, 57, true, true
"2013-12-01 00:00:10", 167FRH, 45.54813, -122.61974, 66, true, true
"2013-12-01 00:00:10", 344FRH, 45.50365, -122.65268, 54, true, true
"2013-12-01 00:00:10", 343FRH, 45.53613, -122.58806, 100, true, true
"2013-12-01 00:00:10", 342FRH, 45.52267, -122.64856, 81, true, true
"2013-12-01 00:00:10", 341FRH, 45.53721, -122.57504, 36, false, true
"2013-12-01 00:00:10", 347FRH, 45.53689, -122.59421, 39, true, true
"2013-12-01 00:00:10", 340FRH, 45.47293, -122.67349, 57, true, true
"2013-12-01 00:00:10", 339FRH, 45.55576, -122.64286, 100, true, true
"2013-12-01 00:00:10", 189FRH, 45.56185, -122.62046, 42, true, true
"2013-12-01 00:00:10", 381FRH, 45.47912, -122.61811, 51, true, true
"2013-12-01 00:00:10", 383FRH, 45.49953, -122.59309, 69, true, true
"2013-12-01 00:00:10", 384FRH, 45.49404, -122.60411, 66, true, true
"2013-12-01 00:00:10", 385FRH, 45.53004, -122.59864, 66, true, true
"2013-12-01 00:00:10", 386FRH, 45.55699, -122.61246, 100, true, true
"2013-12-01 00:00:10", 387FRH, 45.48102, -122.68192, 60, true, true
"2013-12-01 00:00:10", 350FRH, 45.48166, -122.59698, 30, true, true
"2013-12-01 00:00:10", 389FRH, 45.55374, -122.59116, 75, true, true
"2013-12-01 00:00:10", 392FRH, 45.50558, -122.65296, 12, true, true
"2013-12-01 00:00:10", 393FRH, 45.53287, -122.64416, 15, true, true
"2013-12-01 00:00:10", 394FRH, 45.49153, -122.60723, 48, true, true
"2013-12-01 00:00:10", 395FRH, 45.52934, -122.59477, 63, true, true
"2013-12-01 00:00:10", 396FRH, 45.521, -122.65965, 100, true, true
"2013-12-01 00:00:10", 397FRH, 45.5322, -122.68166, 69, true, true
"2013-12-01 00:00:10", 398FRH, 45.54235, -122.59637, 78, true, true
"2013-12-01 00:00:10", 348FRH, 45.55585, -122.57191, 36, true, true
"2013-12-01 00:00:11", 349FRH, 45.49104, -122.62128, 69, true, true
"2013-12-01 00:00:11", 360FRH, 45.53887, -122.65143, 27, false, true
"2013-12-01 00:00:11", 361FRH, 45.56187, -122.57171, 42, false, true
"2013-12-01 00:00:11", 362FRH, 45.5379, -122.5799, 36, true, true
"2013-12-01 00:00:11", 363FRH, 45.48553, -122.6014, 69, true, true
"2013-12-01 00:00:11", 365FRH, 45.48665, -122.60531, 45, true, true
"2013-12-01 00:00:11", 366FRH, 45.5252, -122.64968, 66, true, true
"2013-12-01 00:00:11", 367FRH, 45.47347, -122.67399, 100, true, true
"2013-12-01 00:00:11", 368FRH, 45.53491, -122.59781, 84, true, true
